id,creation_mode,error,dem_fp,max_iter,tol,lambda,l1_ratio,class_weight
J33LZW16H8,inicialization,0.5683220616317233,0.0018333245304103917,100,0.0001,1.0,0.0,
HF3QDNVOTN,inicialization,0.5683220616317233,0.0018333245304103917,100,0.0001,1.0,1.0,
LJMWX0NZ39,inicialization,0.565468250144985,0.005319629498872762,70,0.07925338024884475,37509.901820979794,0.856483359996549,6
LAZJKMKBP2,inicialization,0.5827622412635933,0.005199052620166847,164,0.09223938692170433,38766.066691639375,0.623872425809142,7
DP6SV7V8X4,inicialization,0.4540599064585341,0.038601280408307376,92,0.006288127350810667,10132.258457423273,0.29989959039916636,4
P165QJDUKD,inicialization,0.546146906173411,0.011890200678844356,156,0.0706475878300399,12100.319488028648,0.050720324978788645,6
OT7NWV3AH4,inicialization,0.46661031863311053,0.009321252943187787,55,0.05257579276559236,72010.63109288695,0.20914567294674224,4
GZJ48C2KD4,inicialization,0.2776122945614704,0.041200111750790136,177,0.0048053532716317415,19812.198735999886,0.24879445997974925,2
INFHQEZC81,inicialization,0.5229628758914566,0.00920032858068157,105,0.03443215672431105,45421.79499280053,0.1942025617246439,6
Q0JN0ERZQG,inicialization,0.3839973588145794,0.025903179893753348,54,0.09980657839276073,39054.2162749088,0.2714071274014991,3
TCB9SOZAFO,inicialization,0.6372697898933375,0.0019337473486986038,74,0.06431316489778127,62636.127713722846,0.8533313355359178,8
WU2CLFBW9J,inicialization,0.4691771259750692,0.012533045709409031,49,0.0697296171577398,68237.34653109362,0.01365100371439143,4
ZLYY2MNK9R,inicialization,0.6613938283751427,1.0,33,0.045805415648462536,74614.50657008661,0.4374548761889423,8
6HTIHODZ31,inicialization,0.49392953739566814,0.015168710334724202,147,0.08608830617171913,8744.275044106815,0.04666225543471203,5
BJ4GFSG9JI,inicialization,0.4540599064585341,0.038601280408307376,194,0.055510718270851855,14668.81432793895,0.9386748667795091,4
YG5UH4SOWO,inicialization,0.44435341035957354,0.03125825274025723,26,0.001518150894049295,50660.959463723695,0.548007980651612,2
D4W64N5D6Q,inicialization,0.6004091794174667,0.00806301410228255,25,0.052580724140656364,96298.48961837318,0.7670441352336475,7
CO3AHOXUHT,inicialization,0.5513377307878463,0.01257300634644413,39,0.03056480252278054,86712.12336016682,0.43762008051526047,6
UFKVJM1FFU,inicialization,0.6336783140881805,0.0019337473486986038,129,0.03151379667702613,15247.026684930383,0.11076376917703756,8
BN7K4C82WA,inicialization,0.48000222631372524,0.01522291780757181,35,0.006167951028694441,98841.11538310471,0.15511339302656446,4
NRQNSZZQVB,inicialization,0.4540599064585341,0.038601280408307376,151,0.02416001592034246,51938.00912880548,0.05247007803609127,4
WHK4XN7PZB,inicialization,0.8005688972540514,0.0047577481937791655,104,0.03379624125810378,26475.25033782797,0.5966221018720027,1
EWCQ3S8ZXU,inicialization,0.47026462032832295,0.008645396951594116,48,0.01270211507543752,18362.203564960895,0.49327441136398453,4
0P5G7NLEPF,inicialization,0.6801983905798398,1.0,23,0.07933013902460209,27988.44263046423,0.48252555891248194,9
V0CR4WVE6S,inicialization,0.4540599064585341,0.038601280408307376,175,0.07463130915321893,37442.07184653016,0.9789962115393638,4
CARF8GR148,inicialization,0.8005688972540514,0.0047577481937791655,70,0.07699320445499512,55295.42065059802,0.8725543162310322,1
TLFF5N7FVJ,inicialization,0.3230729758833891,0.01859073080013013,198,0.05068075617374648,39548.01570110121,0.9688634828218319,2
1PF2XAS1A2,inicialization,0.49392953739566814,0.015168710334724202,168,0.06004326566395698,81156.12823570234,0.7949120957247787,5
7I4JNSYABZ,inicialization,0.546146906173411,0.011890200678844356,180,0.07708966668599279,97470.75880861968,0.7857030386683618,6
PJP4L0TS7Y,inicialization,0.508764219121779,0.013222106085414298,89,0.05757327221513716,77829.90707061421,0.4740938850945512,5
IC6DB61YYO,inicialization,0.5686222230093704,0.011870394102226955,24,0.007533838179094654,67009.1366943987,0.26716906808167573,5
K49XWW0RE1,inicialization,0.8088540166404914,0.007213416210536283,62,0.08234338493394641,41.07775723420796,0.9798049818199233,1
X40Q2I5WSA,inicialization,0.5559877088294631,0.010485323674210309,34,0.012367348233135914,79527.35697757661,0.8825058356655165,6
